stock_id,company_name,market,industry,security_type,listed_date,isin,quote_date,close,change,volume_shares,valuation_date,pe_ratio,pb_ratio,dividend_yield_pct,chip_date,foreign_net_buy_shares,investment_trust_net_buy_shares,dealer_net_buy_shares,institutional_total_net_buy_shares,has_price_file,price_file
2855,統一證,twse,金融保險業,股票,2002/09/16,TW0002855004,1150618,52.2,0.6,8962525.0,1150618,11.68,2.0,4.04,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2855.csv
2867,三商壽,twse,金融保險業,股票,2012/12/18,TW0002867009,1150618,8.74,0.12,18362750.0,1150618,62.43,0.66,,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2867.csv
2880,華南金,twse,金融保險業,股票,2001/12/19,TW0002880002,1150618,38.35,0.25,67936605.0,1150618,18.53,2.19,3.78,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2880.csv
2881,富邦金,twse,金融保險業,股票,2001/12/19,TW0002881000,1150618,138.0,2.5,45796330.0,1150618,18.98,2.11,3.08,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2881.csv
2882,國泰金,twse,金融保險業,股票,2001/12/31,TW0002882008,1150618,115.5,2.0,48383199.0,1150618,17.53,2.31,3.03,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2882.csv
2883,凱基金,twse,金融保險業,股票,2001/12/28,TW0002883006,1150618,30.75,0.55,127489583.0,1150618,17.28,1.54,3.25,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2883.csv
2884,玉山金,twse,金融保險業,股票,2002/01/28,TW0002884004,1150618,35.4,-0.1,98205698.0,1150618,16.09,2.01,3.95,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2884.csv
2885,元大金,twse,金融保險業,股票,2002/02/04,TW0002885001,1150618,68.0,1.3,42276322.0,1150618,20.92,2.53,3.24,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2885.csv
2886,兆豐金,twse,金融保險業,股票,2002/02/04,TW0002886009,1150618,45.5,0.4,72606918.0,1150618,18.5,1.68,3.85,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2886.csv
2887,台新新光金,twse,金融保險業,股票,2002/02/18,TW0002887007,1150618,32.45,-0.15,109574168.0,1150618,15.91,1.42,3.39,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2887.csv
2889,國票金,twse,金融保險業,股票,2002/03/26,TW0002889003,1150618,15.25,0.05,7205938.0,1150618,19.81,1.19,3.87,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2889.csv
2890,永豐金,twse,金融保險業,股票,2002/05/09,TW0002890001,1150618,39.8,3.45,148015065.0,1150618,19.04,2.17,3.27,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2890.csv
