event_id,revenue_month,announcement_date,announcement_time,market,stock_id,company_name,current_month_revenue,previous_month_revenue,previous_year_month_revenue,mom_pct,yoy_pct,cumulative_revenue,previous_year_cumulative_revenue,cumulative_yoy_pct,note,source_url
revenue_202604_2801,2026-04,2026-05-10,after_close,listed,2801,彰銀,4178018.0,4394752.0,3840213.0,-0.0493,0.08789999999999999,16583595.0,14581429.0,0.1373,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2812,2026-04,2026-05-10,after_close,listed,2812,台中銀,2402853.0,1746458.0,1414676.0,0.37579999999999997,0.6984999999999999,7875544.0,6412265.0,0.22820000000000001,本月營業收入較去年同期增加，主係手續費及投資相關淨收益增加所致。,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2816,2026-04,2026-05-10,after_close,listed,2816,旺旺保,1920778.0,914845.0,1074644.0,1.0995,0.7873,5740023.0,4435605.0,0.294,受惠股市走揚及投資資產評價回升，本月營業收入較去年同期大幅成長。,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2820,2026-04,2026-05-10,after_close,listed,2820,華票,374949.0,291630.0,256177.0,0.2857,0.4636,1468930.0,843342.0,0.7417,主係本年票債淨利息收入及金融商品獲利增加。,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2832,2026-04,2026-05-10,after_close,listed,2832,台產,886280.0,849160.0,778261.0,0.0437,0.1387,3413087.0,3306123.0,0.0323,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2834,2026-04,2026-05-10,after_close,listed,2834,臺企銀,3100269.0,3059514.0,2927588.0,0.013300000000000001,0.058899999999999994,11945711.0,11525481.0,0.0364,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2836,2026-04,2026-05-10,after_close,listed,2836,高雄銀,423864.0,368326.0,388292.0,0.1507,0.0916,1669899.0,1551774.0,0.0761,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2838,2026-04,2026-05-10,after_close,listed,2838,聯邦銀,2399145.0,1442145.0,1473559.0,0.6635,0.6281,7653233.0,6109073.0,0.2527,主要係兌換損益較去年同期跌幅較大。,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2845,2026-04,2026-05-10,after_close,listed,2845,遠東銀,1206686.0,1133028.0,914245.0,0.065,0.31980000000000003,4732909.0,4103429.0,0.1534,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2849,2026-04,2026-05-10,after_close,listed,2849,安泰銀,584637.0,534288.0,458496.0,0.0942,0.2751,2177858.0,1823777.0,0.1941,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2850,2026-04,2026-05-10,after_close,listed,2850,新產,2791092.0,2295731.0,1695867.0,0.2157,0.6457999999999999,9714640.0,7987971.0,0.2161,保險業115年起適用IFRS17，營收申報至15日，營業收入依金管保財字第11304903821號函定義並追溯公告,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2851,2026-04,2026-05-10,after_close,listed,2851,中再保,3681428.0,547319.0,522087.0,5.7262,6.0513,8589145.0,3589115.0,1.3931,營業收入淨額較去年同期增加，主係淨投資損益增加所致。,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2852,2026-04,2026-05-10,after_close,listed,2852,第一保,795443.0,830604.0,761883.0,-0.042300000000000004,0.044000000000000004,3150657.0,3182992.0,-0.0101,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2855,2026-04,2026-05-10,after_close,listed,2855,統一證,4443710.0,131214.0,403189.0,32.8661,10.0214,9930719.0,2132113.0,3.6576,今年單月營收及累計營收較去年同期增加，主因今年泛自營業務操作獲利優於去年同期所致。,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2867,2026-04,2026-05-10,after_close,listed,2867,三商壽,19308775.0,-1997021.0,-4046113.0,10.6687,5.7721,31517313.0,10247162.0,2.0757,本月和本年營收較去年同期增加，主要係淨投資損益增加所致。,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2880,2026-04,2026-05-10,after_close,listed,2880,華南金,7232756.0,6369448.0,4532348.0,0.1355,0.5958,25958644.0,19886105.0,0.3053,本月營業收入較去年本月營業收入增加，係投資相關淨收益增加所致,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2881,2026-04,2026-05-10,after_close,listed,2881,富邦金,53356168.0,13238212.0,-44543193.0,3.0304,2.1978,119848390.0,-39607885.0,4.0258,本月及本年累計營業收入較去年本月及去年累計營業收入增加，主係投資相關淨收益增加所致。,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2882,2026-04,2026-05-10,after_close,listed,2882,國泰金,30515220.0,19897630.0,-56598922.0,0.5336,1.5391,102538904.0,-21493622.0,5.770599999999999,本月及本年營業收入淨額較去年同期增加，主係投資收益增加所致。,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2883,2026-04,2026-05-10,after_close,listed,2883,凱基金,13466790.0,5446126.0,-30394743.0,1.4727000000000001,1.443,37033357.0,-16862320.0,3.1962,本月及累計營業收入較去年同期增加，主係投資相關淨收益增加所致。,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2884,2026-04,2026-05-10,after_close,listed,2884,玉山金,10046680.0,8441262.0,6796637.0,0.19010000000000002,0.4781,35212568.0,28227629.0,0.24739999999999998,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2885,2026-04,2026-05-10,after_close,listed,2885,元大金,17253767.0,12421394.0,4060697.0,0.389,3.2489,60762386.0,28546266.0,1.1284999999999998,本月及本年營業收入淨額較去年同期增加，主係分離帳戶保險商品資產淨損益、手續費及佣金淨損益增加所致。,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2886,2026-04,2026-05-10,after_close,listed,2886,兆豐金,9055059.0,6152506.0,5553909.0,0.4717,0.6303,29823501.0,24120268.0,0.2364,本月營業收入較去年本月增加，主係透過損益按公允價值衡量之金融資產及負債損益增加。,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2887,2026-04,2026-05-10,after_close,listed,2887,台新新光金,17221187.0,12937979.0,2226054.0,0.331,6.7361,65216294.0,14831393.0,3.3971,本年度新增新光子公司,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2889,2026-04,2026-05-10,after_close,listed,2889,國票金,1502403.0,779441.0,40162.0,0.9275,36.4085,4207634.0,1770533.0,1.3763999999999998,本月透過損益暨透過其他綜合損益按公允價值衡量之金融資產淨損益較去年同期增加約13.99億元。,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2890,2026-04,2026-05-10,after_close,listed,2890,永豐金,9512201.0,8362826.0,5076960.0,0.1374,0.8736,35673191.0,23769685.0,0.5007,本月及本年累計營業收入較去年本月及去年累計營業收入增加，係因合併京城銀行，使整體營業收入較去年成長所致。,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2891,2026-04,2026-05-10,after_close,listed,2891,中信金,19691968.0,13095003.0,-1929502.0,0.5036999999999999,11.2057,79551446.0,43782688.0,0.8169,係因股市波動，受託買賣手續費收入、有價證券相關出售利益及評價利益、兌換損益(含避險損益)增加所致,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2892,2026-04,2026-05-10,after_close,listed,2892,第一金,7321915.0,6345049.0,5156872.0,0.1539,0.41979999999999995,26621398.0,21714127.0,0.2259,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
