event_id,revenue_month,announcement_date,announcement_time,buy_date,buy_price,market,stock_id,company_name,current_month_revenue,mom_pct,yoy_pct,cumulative_yoy_pct,foreign_net_buy_shares,investment_trust_net_buy_shares,dealer_net_buy_shares,institutional_total_net_buy_shares,avg_volume_5d,avg_volume_20d,previous_volume,previous_volume_ratio_20d,breakout_20d,breakout_60d,breakout_120d,breakout_240d,eps_quality_score,price_file
revenue_202604_3687,2026-04,2026-05-10,after_close,2026-05-11,64.5,otc,3687,歐買尬,162392.0,-0.1085,0.10869999999999999,0.1274,-5000.0,0.0,0.0,-5000.0,85800.0,81100.0,77000.0,0.9494451294697904,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\3687.csv
revenue_202604_5278,2026-04,2026-05-10,after_close,2026-05-11,23.0,otc,5278,尚凡*,224193.0,-0.0818,0.18230000000000002,0.17300000000000001,-30000.0,0.0,239.0,-29761.0,694600.0,581250.0,806000.0,1.3866666666666667,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\5278.csv
revenue_202604_5287,2026-04,2026-05-10,after_close,2026-05-11,152.5,otc,5287,數字,193668.0,-0.0139,-0.0436,-0.0055000000000000005,-5000.0,0.0,0.0,-5000.0,143000.0,95850.0,224000.0,2.33698487219614,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\5287.csv
revenue_202604_5321,2026-04,2026-05-10,after_close,2026-05-11,22.5,otc,5321,美而快,177285.0,0.040999999999999995,-0.2208,-0.231,-14975.0,0.0,17.0,-14958.0,362800.0,273450.0,472000.0,1.726092521484732,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\5321.csv
revenue_202604_6236,2026-04,2026-05-10,after_close,2026-05-11,,otc,6236,中湛,2541.0,-0.15460000000000002,-0.1935,-0.3097,,,,,0.0,200.0,0.0,0.0,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\6236.csv
revenue_202604_6690,2026-04,2026-05-10,after_close,2026-05-11,172.0,otc,6690,安�硌穈T,211706.0,-0.1776,0.1436,0.1925,-12975.0,0.0,0.0,-12975.0,73200.0,71350.0,130000.0,1.8220042046250875,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\6690.csv
revenue_202604_6741,2026-04,2026-05-10,after_close,2026-05-11,66.0,otc,6741,91APP*-KY,173441.0,-0.07780000000000001,0.3191,0.315,232000.0,0.0,0.0,232000.0,341400.0,471500.0,461000.0,0.9777306468716861,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\6741.csv
revenue_202604_6763,2026-04,2026-05-10,after_close,2026-05-11,47.3,otc,6763,綠界科技*,154113.0,-0.10880000000000001,0.0999,0.12029999999999999,-122000.0,0.0,-3280.0,-125280.0,337800.0,369350.0,348000.0,0.942195749289292,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\6763.csv
revenue_202604_6811,2026-04,2026-05-10,after_close,2026-05-11,213.0,otc,6811,宏�硌穈T,884400.0,-0.11900000000000001,0.2425,0.1826,32000.0,0.0,-1200.0,30800.0,221600.0,114800.0,153000.0,1.3327526132404182,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\6811.csv
revenue_202604_6865,2026-04,2026-05-10,after_close,2026-05-11,35.95,otc,6865,偉康科技,20038.0,0.4889,-0.24719999999999998,-0.5039,0.0,0.0,0.0,0.0,17600.0,24050.0,16000.0,0.6652806652806653,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\6865.csv
