combo,trades,months,win_rate,avg_return_pct,median_return_pct,monthly_avg_return_pct,hit_goal
"prev_vol_ratio_gt_1_5,breakout_20d,avg_volume_5d_gt_100k,foreign_buy_gt_100k",32,5,0.75,0.106806,0.056962,0.165789,False
"breakout_60d,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,foreign_buy_gt_100k",25,5,0.72,0.093398,0.056962,0.164809,False
"breakout_60d,prev_vol_ratio_gt_1_5,breakout_20d,inst_buy_gt_100k,foreign_buy_gt_100k",25,5,0.72,0.093398,0.056962,0.164809,False
"breakout_60d,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,avg_volume_5d_gt_100k,foreign_buy_gt_100k",25,5,0.72,0.093398,0.056962,0.164809,False
"breakout_60d,prev_vol_ratio_gt_1_5,breakout_20d,inst_buy_gt_100k,avg_volume_5d_gt_100k,foreign_buy_gt_100k",25,5,0.72,0.093398,0.056962,0.164809,False
"avg_volume_5d_gt_300k,breakout_60d,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.092142,0.056962,0.164415,False
"avg_volume_5d_gt_300k,breakout_60d,prev_vol_ratio_gt_1_5,breakout_20d,inst_buy_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.092142,0.056962,0.164415,False
"avg_volume_5d_gt_300k,breakout_60d,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,avg_volume_5d_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.092142,0.056962,0.164415,False
"avg_volume_5d_gt_300k,breakout_60d,prev_vol_ratio_gt_1_5,breakout_20d,inst_buy_gt_100k,avg_volume_5d_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.092142,0.056962,0.164415,False
"avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,breakout_20d,inst_buy_gt_100k,foreign_buy_gt_100k",29,5,0.724138,0.093004,0.033898,0.160018,False
"avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,breakout_20d,inst_buy_gt_100k,avg_volume_5d_gt_100k,foreign_buy_gt_100k",29,5,0.724138,0.093004,0.033898,0.160018,False
"prev_vol_ratio_gt_1_5,breakout_20d,inst_buy_gt_100k,foreign_buy_gt_100k",31,5,0.741935,0.091607,0.033898,0.158106,False
"prev_vol_ratio_gt_1_5,breakout_20d,inst_buy_gt_100k,avg_volume_5d_gt_100k,foreign_buy_gt_100k",31,5,0.741935,0.091607,0.033898,0.158106,False
"trust_buy_positive,prev_vol_ratio_gt_1_5,inst_buy_gt_100k",15,4,0.666667,0.143884,0.034091,0.154485,False
"trust_buy_positive,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,inst_buy_gt_100k",15,4,0.666667,0.143884,0.034091,0.154485,False
"trust_buy_positive,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,avg_volume_5d_gt_100k",15,4,0.666667,0.143884,0.034091,0.154485,False
"trust_buy_positive,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,avg_volume_5d_gt_100k",15,4,0.666667,0.143884,0.034091,0.154485,False
"trust_buy_positive,prev_vol_ratio_gt_1_5",32,5,0.71875,0.163381,0.127258,0.153673,False
