tune_index,threshold,chip_weight,tech_weight,fundamental_weight,trades,months,min_trades_per_month,win_rate,avg_return_pct,monthly_avg_return_pct,objective
0,11.5,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,12.0,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,12.5,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,13.0,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,13.5,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,14.0,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,14.5,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,15.0,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,15.5,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,16.0,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,16.5,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,17.0,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,17.5,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,18.0,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,18.5,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,19.0,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,19.5,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,20.0,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,20.5,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,21.0,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,21.5,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,22.0,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
